01:18:29.112 | Info | '/transaction/getCustomersDetails' | 
01:18:36.116 | Info | '/transaction/getCustomersDetails' | 
01:18:42.121 | Info | '/transaction/getCustomersDetails' | 
01:18:48.133 | Info | '/transaction/getCustomersDetails' | 
01:18:55.116 | Info | '/transaction/getCustomersDetails' | 
01:19:02.804 | Info | '/transaction/getCustomerType' | 
01:19:04.141 | Info | '/transaction/getCustomerType' | 
01:19:06.810 | Info | '/transaction/getCustomersDetails' | 
01:19:14.898 | Info | '/transaction/getCustomerType' | 
01:19:17.905 | Info | '/transaction/getCustomersDetails' | 
01:19:31.090 | Info | '/transaction/getCustomerType' | 
01:19:33.318 | Info | '/transaction/getCustomersDetails' | 
01:22:50.960 | Info | '/transaction/getCustomerType' | 
01:22:53.324 | Info | '/transaction/getDeviceType' | 
01:22:57.195 | Info | '/transaction/getNetworkType' | 
01:22:59.571 | Info | '/transaction/getRolesType' | 
01:23:02.170 | Info | '/transaction/getCustomerType' | 
01:23:04.304 | Info | '/transaction/getCustomersDetails' | 
01:23:15.985 | Info | '/transaction/getCustomerType' | 
01:23:17.868 | Info | '/transaction/getCustomersDetails' | 
01:23:26.757 | Info | '/transaction/getCustomerType' | 
01:23:28.610 | Info | '/transaction/getCustomersDetails' | 
01:24:15.123 | Info | '/transaction/getCustomersDetails' | 
01:24:20.153 | Info | '/transaction/getCustomersDetails' | 
01:25:19.429 | Info | '/transaction/getCustomerType' | 
01:25:22.536 | Info | '/transaction/getCustomersDetails' | 
01:25:26.910 | Info | '/transaction/getCustomerType' | 
01:33:18.829 | Info | '/api/user/login' | 
01:33:22.434 | Info | '/transaction/getDeviceType' | 
01:33:24.504 | Info | '/transaction/getDeviceType' | 
01:33:26.005 | Info | '/transaction/getDeviceType' | 
01:33:29.618 | Info | '/transaction/getDeviceType' | 
01:33:31.347 | Info | '/transaction/getDeviceType' | 
01:33:34.095 | Info | '/transaction/getDeviceType' | 
01:33:36.012 | Info | '/transaction/getDeviceType' | 
01:33:55.143 | Info | '/transaction/getDeviceType' | 
01:34:44.613 | Info | '/transaction/getDeviceType' | 
01:35:26.819 | Info | '/transaction/getCustomerType' | 
01:35:29.746 | Info | '/transaction/getDeviceType' | 
01:35:31.689 | Info | '/transaction/getNetworkType' | 
01:35:34.745 | Info | '/transaction/getRolesType' | 
01:35:48.474 | Info | '/transaction/getCustomerType' | 
01:35:51.103 | Info | '/transaction/getDeviceType' | 
01:35:53.444 | Info | '/transaction/getCustomerType' | 
01:35:55.440 | Info | '/transaction/getCustomersDetails' | 
01:36:20.634 | Info | '/transaction/getCustomerType' | 
01:36:22.875 | Info | '/transaction/getCustomersDetails' | 
01:38:22.132 | Info | '/transaction/createCustomerType' | 
01:38:35.397 | Info | '/transaction/getCustomerType' | 
01:38:38.414 | Info | '/transaction/getCustomersDetails' | 
01:38:48.029 | Info | '/transaction/getCustomerType' | 
01:39:21.169 | Info | '/transaction/createCustomerType' | 
01:39:21.175 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:39:21.194 | Info | '/transaction/getCustomerType' | 
